h_over_j,E_0,E_1,E_2,E_3,E_4
0.0,2.7988806485620796,3.590769518558661,3.590769518558667,3.5907695185586728,3.8366281708849863
1.0,-11.201119351437914,-10.40923048144136,-10.409230481441346,-10.409230481441307,-10.163371829115022
2.0,-25.20111935143794,-24.40923048144141,-24.40923048144131,-24.16337182911504,-24.163371829115007
3.0,-39.20111935143793,-38.618614698144334,-38.40923048144136,-38.40923048144136,-38.409230481441284
4.0,-54.00000000000001,-54.0,-53.87928828130771,-53.61861469814427,-53.500000000000014
5.0,-72.0,-71.00000000000003,-70.50000000000001,-70.5,-70.49999999999999
6.0,-90.0,-88.00000000000003,-87.50000000000007,-87.50000000000006,-87.50000000000001
7.0,-108.0,-105.00000000000004,-104.5,-104.5,-104.49999999999999
8.0,-126.0,-122.0,-121.5,-121.5,-121.49999999999999
9.0,-144.0,-139.00000000000003,-138.50000000000003,-138.50000000000003,-138.5
10.0,-162.0,-156.00000000000014,-155.50000000000006,-155.50000000000003,-155.49999999999994
